site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
H1,0,128,130,1.0,1.015625,0.006991318316273193,6.322322360267839
H1,1,351,355,2.7421875,2.7734375,0.010243836898210316,10.101858796947157
H1,2,677,681,5.2890625,5.3203125,0.007168287455233866,6.527966476364254
H1,3,1164,1169,9.09375,9.1328125,0.007515730417672567,6.931706932605639
H1,4,1420,1423,11.09375,11.1171875,0.006834984966376768,6.140657727978553
H1,5,1644,1647,12.84375,12.8671875,0.008346528122660497,7.8971219236066466
H1,6,2182,2187,17.046875,17.0859375,0.011056052405695843,11.04568064689005
H1,7,2284,2289,17.84375,17.8828125,0.009044950567258176,8.708712391440168
H1,8,2474,2479,19.328125,19.3671875,0.010467237806815587,10.361458197470185
H1,9,3448,3451,26.9375,26.9609375,0.007630648673235513,7.065245826603625
H1,10,4871,4876,38.0546875,38.09375,0.01566067281496623,16.39640507028432
H1,11,4993,4997,39.0078125,39.0390625,0.013047875134775112,13.360245926168957
H1,12,5390,5393,42.109375,42.1328125,0.007588792913878265,7.016608020672511
H1,13,5728,5732,44.75,44.78125,0.0071277267954290265,6.480833619851304
H1,14,6211,6214,48.5234375,48.546875,0.007926866260092811,7.409460666429565
H1,15,7116,7120,55.59375,55.625,0.007559974064946075,6.9831195449395
H1,16,7821,7825,61.1015625,61.1328125,0.01039300234825855,10.275194087537626
H1,17,8143,8148,63.6171875,63.65625,0.009122669318302284,8.799024204880897
H1,18,8475,8488,66.2109375,66.3125,0.01330424346444907,13.65815458335371
H1,19,8832,8837,69.0,69.0390625,0.011790261010734418,11.898855841730624
H1,20,9131,9134,71.3359375,71.359375,0.009578975697479815,9.329267627921864
H1,21,9296,9300,72.625,72.65625,0.007909319193902819,7.389070382915058
H1,22,9710,9715,75.859375,75.8984375,0.014639909972225211,15.210244173687597
H1,23,9777,9783,76.3828125,76.4296875,0.04716478426606337,53.00524653729046
H1,24,9942,9947,77.671875,77.7109375,0.018461412918878983,19.650959657979495
H1,25,10126,10134,79.109375,79.171875,0.008670002857125865,8.273010489484994
H1,26,13331,13337,104.1484375,104.1953125,0.00920584664584807,8.895679068564313
H1,27,13625,13630,106.4453125,106.484375,0.014649280568706628,15.22113312326397
H1,28,14441,14446,112.8203125,112.859375,0.010646057179769713,10.56925234795333
H1,29,14514,14516,113.390625,113.40625,0.007187386761437312,6.55016051519684
H1,30,14635,14647,114.3359375,114.4296875,0.0067185454155021425,6.005351037451019
H1,31,14981,14985,117.0390625,117.0703125,0.007469055637540231,6.877469261785295
H1,32,15109,15112,118.0390625,118.0625,0.006932123235724452,6.2535356775264646
H1,33,15918,15926,124.359375,124.421875,0.008280437790837718,7.820322726017543
H1,34,16134,16138,126.046875,126.078125,0.010507414731939394,10.408145141324239
H1,35,17177,17181,134.1953125,134.2265625,0.009245139018764646,8.941338132880356
H1,36,18031,18035,140.8671875,140.8984375,0.007847134735989015,7.316809942717851
H1,37,18280,18286,142.8125,142.859375,0.03328712517832866,36.8789379992871
H1,38,19211,19215,150.0859375,150.1171875,0.008562020283602445,8.147531092249668
H1,39,19777,19782,154.5078125,154.546875,0.009425573940060923,9.151009605097583
H1,40,20618,20626,161.078125,161.140625,0.007521202729647968,6.938065943932667
H1,41,21034,21038,164.328125,164.359375,0.010614300278596887,10.532349756292428
H1,42,21176,21181,165.4375,165.4765625,0.010281110770319252,10.145172295155657
H1,43,21868,21872,170.84375,170.875,0.009359054584321382,9.073711867228152
H1,44,22384,22388,174.875,174.90625,0.010250474324815115,10.109571710821943
H1,45,23529,23533,183.8203125,183.8515625,0.0085356420506602,8.116878694721764
