site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
L1,0,945,949,7.3828125,7.4140625,0.1094282980568334,9.080928592900463
L1,1,7447,7451,58.1796875,58.2109375,0.0805853686911892,6.188286913822117
L1,2,8660,8665,67.65625,67.6953125,0.08561938033202815,6.693145199908729
L1,3,9781,9785,76.4140625,76.4453125,0.11672154306514348,9.812364163099407
L1,4,26180,26183,204.53125,204.5546875,0.11295206427707775,9.434325188190414
L1,5,29433,29437,229.9453125,229.9765625,0.10953918233980095,9.092049117254993
L1,6,30627,30634,239.2734375,239.328125,0.11051035153815768,9.189447147288309
L1,7,30991,31006,242.1171875,242.234375,0.1170159027491699,9.84188533551088
L1,8,31205,31209,243.7890625,243.8203125,0.08660070302226419,6.79156151811333
L1,9,31365,31369,245.0390625,245.0703125,0.08909642965111039,7.041856582621767
L1,10,31929,31942,249.4453125,249.546875,0.08705549080397205,6.837171937076903
L1,11,32213,32218,251.6640625,251.703125,0.09398603974337644,7.532232916038793
L1,12,32320,32324,252.5,252.53125,0.0904824437467227,7.180859181488642
L1,13,32406,32432,253.171875,253.375,0.08557315706763398,6.688509493894455
L1,14,32503,32527,253.9296875,254.1171875,0.10116462935562733,8.252169759004882
L1,15,32759,32769,255.9296875,256.0078125,0.10046787143480383,8.18229228655915
L1,16,32905,32933,257.0703125,257.2890625,0.08718176989320349,6.849836398168085
L1,17,33011,33017,257.8984375,257.9453125,0.09388373437066061,7.521972765921588
L1,18,33094,33100,258.546875,258.59375,0.09465356539214693,7.599178699839358
L1,19,33374,33382,260.734375,260.796875,0.10105258134690785,8.240932525228422
L1,20,33494,33500,261.671875,261.71875,0.10114800961630324,8.250502974398685
L1,21,33587,33591,262.3984375,262.4296875,0.09767240297324041,7.901936276877997
L1,22,33664,33668,263.0,263.03125,0.09784682689049558,7.919429156553436
L1,23,33780,33793,263.90625,264.0078125,0.1002830199595013,8.16375363276568
L1,24,33856,33861,264.5,264.5390625,0.08232678841059371,6.3629329491557725
L1,25,33977,33982,265.4453125,265.484375,0.0990548619732582,8.040582337143697
L1,26,34105,34124,266.4453125,266.59375,0.09567803700080699,7.701922399575083
L1,27,34214,34218,267.296875,267.328125,0.10364120702753264,8.500544385049672
L1,28,34303,34312,267.9921875,268.0625,0.10255243374818553,8.391351905777519
L1,29,34374,34378,268.546875,268.578125,0.09782261841730737,7.917001301960606
L1,30,34445,34448,269.1015625,269.125,0.08851263291174587,6.983307925549253
L1,31,34508,34512,269.59375,269.625,0.09678610861600775,7.813050298440698
L1,32,34572,34576,270.09375,270.125,0.08995414202950858,7.127876089966651
L1,33,34651,34658,270.7109375,270.765625,0.08914585692684383,7.04681361718845
L1,34,34726,34732,271.296875,271.34375,0.09303555129162469,7.436908946820372
L1,35,34831,34836,272.1171875,272.15625,0.09936593906516693,8.071780089287884
L1,36,34919,34924,272.8046875,272.84375,0.10028478282992775,8.16393043008074
L1,37,35023,35045,273.6171875,273.7890625,0.10396145118205191,8.53266149691096
L1,38,35145,35150,274.5703125,274.609375,0.10458265111627331,8.594961300027002
L1,39,35215,35220,275.1171875,275.15625,0.09447640577197561,7.581411458008239
L1,40,35363,35368,276.2734375,276.3125,0.09800486674688334,7.935278887686756
L1,41,35521,35525,277.5078125,277.5390625,0.09357459801429618,7.490969649088272
L1,42,35650,35654,278.515625,278.546875,0.09587828302508997,7.722004964302389
L1,43,35728,35733,279.125,279.1640625,0.09024429372499922,7.156975245499418
L1,44,35793,35797,279.6328125,279.6640625,0.09710034710056267,7.844565104931772
L1,45,35857,35861,280.1328125,280.1640625,0.07954130420193081,6.083578254760885
L1,46,35935,35940,280.7421875,280.78125,0.09628385533693154,7.762679590594353
L1,47,36035,36039,281.5234375,281.5546875,0.10922984726003918,9.061026070560375
L1,48,36157,36161,282.4765625,282.5078125,0.0874577025870979,6.877509537774009
L1,49,36257,36262,283.2578125,283.296875,0.09287714678784498,7.42102264539869
L1,50,36385,36389,284.2578125,284.2890625,0.09125647480514323,7.258486334823327
L1,51,36465,36471,284.8828125,284.9296875,0.0850196632928116,6.632999904633777
L1,52,36585,36591,285.8203125,285.8671875,0.10144116821716899,8.27990369083405
L1,53,36663,36672,286.4296875,286.5,0.2617431939052608,24.356506551373815
L1,54,44966,44970,351.296875,351.328125,0.14896916921890868,13.046461028961724
L1,55,51434,51446,401.828125,401.921875,0.34412432001840954,32.61846482694861
L1,56,62302,62306,486.734375,486.765625,0.10310432050633352,8.446700328211055
L1,57,66321,66344,518.1328125,518.3125,0.0968278547675938,7.817236997249551
L1,58,66403,66414,518.7734375,518.859375,0.09651681086856427,7.786042574001143
L1,59,70675,70677,552.1484375,552.1640625,0.08416354961399627,6.5471407299994535
L1,60,71210,71240,556.328125,556.5625,0.12745493275246966,10.888809969756325
L1,61,71888,71894,561.625,561.671875,0.08781558123791665,6.913400992774546
L1,62,71987,71992,562.3984375,562.4375,0.09123266527702971,7.256098490214784
L1,63,72062,72066,562.984375,563.015625,0.08926923152740356,7.059186788692443
L1,64,72125,72130,563.4765625,563.515625,0.09506851217949341,7.640793487174647
L1,65,72211,72215,564.1484375,564.1796875,0.08866683338880714,6.998772607420731
L1,66,72290,72294,564.765625,564.796875,0.09424777035248116,7.558481736295195
L1,67,72417,72423,565.7578125,565.8046875,0.12500393877817517,10.643001118812805
L1,68,72492,72506,566.34375,566.453125,0.08896052867967487,7.028227148204129
L1,69,85123,85126,665.0234375,665.046875,0.08398222816642775,6.528956100765077
L1,70,99981,99985,781.1015625,781.1328125,0.13183128782201586,11.32771223644821
L1,71,112060,112063,875.46875,875.4921875,0.09501123947503759,7.635049638833785
L1,72,112486,112492,878.796875,878.84375,0.09347862308698039,7.481344375892865
L1,73,112577,112583,879.5078125,879.5546875,0.07878095013740796,6.007322759696114
L1,74,131067,131072,1023.9609375,1024.0,0.27710967758610583,25.897602831595446
L1,75,135017,135020,1054.8203125,1054.84375,0.08162907384087649,6.292959534913452
L1,76,155993,155997,1218.6953125,1218.7265625,0.08310376903309304,6.440855912665676
L1,77,182295,182299,1424.1796875,1424.2109375,0.09169607613827198,7.3025737131289885
L1,78,183855,183859,1436.3671875,1436.3984375,0.1350702318419273,11.652544168372476
L1,79,183945,183949,1437.0703125,1437.1015625,0.09893281080813861,8.02834189225929
L1,80,188624,188627,1473.625,1473.6484375,0.08702779814304039,6.834394655192666
L1,81,191356,191360,1494.96875,1495.0,0.12020510660714907,10.161728853681977
L1,82,191839,191843,1498.7421875,1498.7734375,0.08389324146602911,6.52003167304161
L1,83,191907,191910,1499.2734375,1499.296875,0.09202114690330812,7.335174883130585
L1,84,192057,192061,1500.4453125,1500.4765625,0.090275648668335,7.160119815691594
L1,85,196469,196474,1534.9140625,1534.953125,0.08633148030707682,6.7645613186178775
L1,86,196602,196608,1535.953125,1536.0,0.3888434737360766,37.103324400571395
L1,87,197591,197597,1543.6796875,1543.7265625,0.10877111796229182,9.015020359099637
L1,88,203044,203048,1586.28125,1586.3125,0.13038074692367418,11.182238279674985
L1,89,207777,207782,1623.2578125,1623.296875,0.2831583346709255,26.50421935671313
L1,90,210204,210209,1642.21875,1642.2578125,0.27272915294679173,25.458282401022164
L1,91,211293,211296,1650.7265625,1650.75,0.09628633406657595,7.762928181040551
L1,92,211717,211720,1654.0390625,1654.0625,0.08118704950976194,6.2486291554592865
L1,93,218709,218712,1708.6640625,1708.6875,0.09895211121793702,8.030277519847544
